iter,Ru,Rv,Rc_mass,Rc_div,dt,poisson_iters,poisson_relative_residual,poisson_converged
1,0.0536888770371,0.0109346699622,0.000259375297537,1.02946055593,0.0025,325,7.32291065508e-05,1
2,0.0473056645954,0.0153770060791,0.000402032855863,1.59566840492,0.0025,325,6.99201736142e-05,1
3,0.0419480755947,0.0169694127665,0.000478641846234,1.8997294877,0.0025,325,6.75469497141e-05,1
4,0.0374019487581,0.0171499317698,0.00051592556297,2.04770855943,0.0025,325,6.50951271094e-05,1
5,0.0335192541263,0.0166472666786,0.000529117705161,2.10006817178,0.0025,300,9.66149670714e-05,1
6,0.0301788640387,0.0158588033367,0.000527339873578,2.09301195823,0.0025,300,9.15780627607e-05,1
7,0.0272962015189,0.0149299638492,0.000516275235781,2.04909641082,0.0025,300,8.55657231259e-05,1
8,0.0247952956325,0.0139593170722,0.000499548742105,1.98270895741,0.0025,300,7.88286370782e-05,1
9,0.0226155955986,0.0130000092812,0.000479514970909,1.90319491954,0.0025,300,7.14797080671e-05,1
10,0.0207092158559,0.0120797504285,0.000457726588116,1.81671682823,0.0025,275,9.90880795053e-05,1
11,0.0190299522201,0.0112131016211,0.000435195635884,1.72729147882,0.0025,275,8.66299896776e-05,1
12,0.0175490993102,0.010405081405,0.00041259960107,1.63760781665,0.0025,275,7.34402664639e-05,1
13,0.0162379505701,0.00965660398352,0.000390384838399,1.54943742361,0.0025,250,9.38728025995e-05,1
14,0.0150687415928,0.00896676970051,0.000368826659863,1.46387301299,0.0025,250,7.32367474442e-05,1
15,0.0140266796556,0.00833193776714,0.000348106480707,1.38163462193,0.0025,225,8.2247245503e-05,1
16,0.0130911693301,0.00774894283067,0.000328322718451,1.30311286953,0.0025,200,8.00938826481e-05,1
17,0.0122498252856,0.00721369200561,0.000309527489856,1.22851460724,0.0025,150,8.3429059493e-05,1
18,0.0114863676827,0.00672320978788,0.000291722066099,1.15784488035,0.0025,125,7.54306565954e-05,1
19,0.0108018375351,0.00627201792547,0.000274918607237,1.09115195212,0.0025,200,6.98098215243e-05,1
20,0.0101768654376,0.00599303487196,0.00025909061864,1.02833066538,0.0025,225,7.28937963889e-05,1
21,0.00960656582004,0.00578643019574,0.000244201326666,0.969235065539,0.0025,225,9.98421293363e-05,1
22,0.00908669687363,0.00558501993002,0.000230214700647,0.913722146867,0.0025,250,8.03456685304e-05,1
23,0.00860867091634,0.0053896622035,0.00021708324688,0.861603406867,0.0025,250,9.53171172083e-05,1
24,0.00832957075863,0.00520030948356,0.000204765279412,0.812713393986,0.0025,275,7.03706951211e-05,1
25,0.00813061528385,0.00501748086944,0.000193212234704,0.766859359541,0.0025,275,7.86293915295e-05,1
26,0.00793365039163,0.00484106512413,0.000182380314663,0.723867468897,0.0025,275,8.65403065161e-05,1
27,0.00773908567776,0.00467112275766,0.000172226223318,0.683565880351,0.0025,275,9.38397073876e-05,1
28,0.00754812644952,0.00450754285222,0.000162709762751,0.645795048359,0.0025,300,6.46606151059e-05,1
29,0.00735985024397,0.00436840602212,0.000153788282302,0.610385692459,0.0025,300,6.83604789688e-05,1
30,0.00717604301564,0.00424570711765,0.000145424386809,0.577189391247,0.0025,300,7.18763103185e-05,1
31,0.00699661609964,0.00412742778031,0.000137582198527,0.546063745952,0.0025,300,7.50479939151e-05,1
32,0.00682176890739,0.00401339540477,0.000130227792451,0.516874108238,0.0025,300,7.7885227765e-05,1
